"segment","section","dashboard_name","match_status","score","picked","entity","scenario","view","account","flow","origin","cons","ud1","ud2","ud3","ud4","ud5","ud6","ud7","ud8","candidate_count"
"rbi-level","pnl","Royalty Rate %","MATCHED","59","Total Sales - TotalSales","RestaurantBrandsIntlMNGT","Act_PY1_PreviewRate","YTD","TotalSales","Top","Top","Aggregated","Top","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Royalties","MATCHED","154","Royalties - RoyaltiesNet - Franchise_FPA","RestaurantBrandsIntlMNGT","Fcst_0210_Planrate","YTD","RoyaltiesNet","Top","Top","Aggregated","Franchise_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","FZ & Successor Fees","MATCHED","59","Total Sales - TotalSales","RestaurantBrandsIntlMNGT","Act_PY1_PreviewRate","YTD","TotalSales","Top","Top","Aggregated","Top","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Amortized Fees","MATCHED","154","Amortized Fees - Amortized Fees_FPA - Franchise_FPA","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","YTD","Amortized Fees_FPA","Top","Top","Aggregated","Franchise_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Unamortized Fees","MATCHED","154","Unamortized Fees - Unamortized Fees_FPA - Franchise_FPA","RestaurantBrandsIntlMNGT","Act_PY1_PreviewRate","Periodic","Unamortized Fees_FPA","Top","Top","Aggregated","Franchise_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Total Franchise Revenue","MATCHED","59","Total Sales - TotalSales","RestaurantBrandsIntlMNGT","Act_PY1_PreviewRate","YTD","TotalSales","Top","Top","Aggregated","Top","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","FZ Bad Debt","MATCHED","154","FZ Bad Debt - BadDebt_FPA - Franchise_FPA","RestaurantBrandsIntlMNGT","Budget","Periodic","BadDebt_FPA","Top","Top","Aggregated","Franchise_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Other FZ Expense","MATCHED","154","Other FZ Expense - Other_Expenses_FPA - Franchise_FPA","RestaurantBrandsIntlMNGT","Forecast_02_10","Periodic","Other_Expenses_FPA","Top","Top","Aggregated","Franchise_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Franchise AOI","MATCHED","154","Franchise AOI - AOI - Franchise_FPA","RestaurantBrandsIntlMNGT","Budget","Periodic","AOI","Top","Top","Aggregated","Franchise_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Property AOI","MATCHED","154","Property AOI - AOI - Property_FPA","RestaurantBrandsIntlMNGT","Budget","Periodic","AOI","Top","Top","Aggregated","Property_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Ad Fund AOI","MATCHED","154","Ad Fund AOI - AOI - LOB_MAA_FPA","RestaurantBrandsIntlMNGT","Fcst_0210_Planrate","Periodic","AOI","Top","Top","Aggregated","LOB_MAA_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Company AOI","MATCHED","154","Company AOI - AOI - Company","RestaurantBrandsIntlMNGT","Act_PY_Planrate","Periodic","AOI","Top","Top","Aggregated","Company","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Tech Fund AOI","MATCHED","59","Total Sales - TotalSales","RestaurantBrandsIntlMNGT","Act_PY1_PreviewRate","YTD","TotalSales","Top","Top","Aggregated","Top","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Equipment AOI","MATCHED","154","Equipment AOI - AOI - EquipmentLOB_FPA","RestaurantBrandsIntlMNGT","Act_Planrate","Periodic","AOI","Top","Top","Aggregated","EquipmentLOB_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","VIE AOI","MATCHED","154","VIE AOI - AOI - VIE","RestaurantBrandsIntlMNGT","Actual","Periodic","AOI","Top","Top","Aggregated","VIE","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","CPG AOI","MATCHED","154","CPG AOI - AOI - RetailLOB_FPA","RestaurantBrandsIntlMNGT","Actual","YTD","AOI","Top","Top","Aggregated","RetailLOB_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Supply Chain AOI","MATCHED","154","Supply Chain AOI - AOI - LOB_SupplyChain","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","Periodic","AOI","Top","Top","Aggregated","LOB_SupplyChain","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Services AOI","MATCHED","154","Services AOI - AOI - LOB_Services_FPA","RestaurantBrandsIntlMNGT","Forecast_02_10","YTD","AOI","Top","Top","Aggregated","LOB_Services_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","Segment G&A","MATCHED","59","Total Sales - TotalSales","RestaurantBrandsIntlMNGT","Act_PY1_PreviewRate","YTD","TotalSales","Top","Top","Aggregated","Top","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","FFS AOI","MATCHED","59","Total Sales - TotalSales","RestaurantBrandsIntlMNGT","Act_PY1_PreviewRate","YTD","TotalSales","Top","Top","Aggregated","Top","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","WhopperCo","MATCHED","59","Total Sales - TotalSales","RestaurantBrandsIntlMNGT","Act_PY1_PreviewRate","YTD","TotalSales","Top","Top","Aggregated","Top","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","PLK CN","MATCHED","59","Total Sales - TotalSales","RestaurantBrandsIntlMNGT","Act_PY1_PreviewRate","YTD","TotalSales","Top","Top","Aggregated","Top","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","FHS BR","MATCHED","59","Total Sales - TotalSales","RestaurantBrandsIntlMNGT","Act_PY1_PreviewRate","YTD","TotalSales","Top","Top","Aggregated","Top","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
"rbi-level","pnl","RBI","MATCHED","109","RBI - TotalSales","RestaurantBrandsIntlMNGT","Budget","YTD","TotalSales","Top","Top","Aggregated","Top","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","684"
